country,city,lat,lon,temp,max_temp,humid,cover,wind
CV,{'pombas'},17.1503,-25.0201,74.98,74.98,77,71,10.4
FI,{'kemijarvi'},66.7131,27.4306,53.08,53.08,97,30,5.82
AU,{'mount gambier'},-37.8333,140.7667,49.91,49.91,100,75,8.05
ID,{'tual'},-5.6667,132.75,80.08,80.08,81,44,20.54
BR,{'jacareacanga'},-6.2222,-57.7528,85.48,85.48,35,49,2.28
RU,{'kuytun'},54.3419,101.5036,57.24,57.24,78,21,3.31
RU,{'vuktyl'},63.8567,57.3094,52.72,52.72,78,87,6.62
US,{'makakilo city'},21.3469,-158.0858,87.39,88.12,54,75,10.36
MX,{'guerrero negro'},27.9769,-114.0611,86.9,86.9,47,18,15.08
GF,{'iracoubo'},5.4802,-53.2011,77.7,77.7,87,100,8.72
